curr_state	curr_action	next_reward	next_state	old_value	new_value
2013	-1	0	1876	0.0	0.0
1876	0	0	1748	0.0	0.0
1748	1	0	1621	0.0	0.0
1621	-1	0	1484	0.0	0.0
1484	0	0	1356	0.0	0.0
1356	-1	0	1227	0.0	0.0
1227	0	0	1107	0.0	0.0
1107	-1	0	986	0.0	0.0
986	-1	0	993	0.0	0.0
993	-1	0	1128	0.0	0.0
1128	-1	0	1263	0.0	0.0
1263	-1	0	1382	0.0	0.0
1382	-1	0	1373	0.0	0.0
1373	-1	0	1236	0.0	0.0
1236	-1	0	1107	0.0	0.0
1107	-1	0	986	0.0	0.0
986	-1	0	993	0.0	0.0
993	-1	0	1128	0.0	0.0
1128	-1	0	1263	0.0	0.0
1263	0	0	1383	0.0	0.0
1383	0	0	1503	0.0	0.0
1503	-1	0	1622	0.0	0.0
1622	0	0	1614	0.0	0.0
1614	-1	0	1605	0.0	0.0
1605	-1	0	1468	0.0	0.0
1468	-1	0	1339	0.0	0.0
1339	-1	0	1218	0.0	0.0
1218	-1	0	1225	0.0	0.0
1225	1	0	1362	0.0	0.0
1362	-1	0	1369	0.0	0.0
1369	0	0	1505	0.0	0.0
1505	-1	0	1640	0.0	0.0
1640	1	0	1769	0.0	0.0
1769	-1	0	1904	0.0	0.0
1904	-1	0	2039	0.0	0.0
2039	-1	0	2030	0.0	0.0
2030	-1	0	2021	0.0	0.0
2021	-1	0	1884	0.0	0.0
1884	-1	0	1755	0.0	0.0
1755	1	0	1636	0.0	0.0
1636	1	0	1509	0.0	0.0
1509	-1	0	1372	0.0	0.0
1372	0	0	1244	0.0	0.0
1244	1	0	1117	0.0	0.0
1117	-1	0	980	0.0	0.0
980	-1	0	851	0.0	0.0
851	-1	0	730	0.0	0.0
730	-1	0	737	0.0	0.0
737	0	0	873	0.0	0.0
873	-1	0	1008	0.0	0.0
1008	-1	0	1143	0.0	0.0
1143	-1	0	1262	0.0	0.0
1262	-1	0	1253	0.0	0.0
1253	0	0	1117	0.0	0.0
1117	1	0	982	0.0	0.0
982	-1	0	973	0.0	0.0
973	-1	0	836	0.0	0.0
836	-1	0	707	0.0	0.0
707	0	0	587	0.0	0.0
587	-1	0	466	0.0	0.0
466	-1	0	473	0.0	0.0
473	0	0	609	0.0	0.0
609	-1	0	744	0.0	0.0
744	1	0	873	0.0	0.0
873	-1	0	1008	0.0	0.0
1008	-1	0	1143	0.0	0.0
1143	0	0	1263	0.0	0.0
1263	-1	0	1382	0.0	0.0
1382	-1	0	1373	0.0	0.0
1373	-1	0	1236	0.0	0.0
1236	-1	0	1107	0.0	0.0
1107	1	0	988	0.0	0.0
988	-1	0	859	0.0	0.0
859	1	0	740	0.0	0.0
740	-1	0	611	0.0	0.0
611	-1	0	490	0.0	0.0
490	-1	0	497	0.0	0.0
497	-1	0	632	0.0	0.0
632	-1	0	767	0.0	0.0
767	-1	0	886	0.0	0.0
886	-1	0	877	0.0	0.0
877	0	0	741	0.0	0.0
741	0	0	605	0.0	0.0
605	-1	0	468	0.0	0.0
468	0	0	340	0.0	0.0
340	1	0	213	0.0	0.0
213	-1	0	76	0.0	0.0
76	-1	0	75	0.0	0.0
75	0	0	83	0.0	0.0
83	-1	0	90	0.0	0.0
90	-1	0	97	0.0	0.0
97	0	0	233	0.0	0.0
233	1	0	370	0.0	0.0
370	-1	0	377	0.0	0.0
377	-1	0	504	0.0	0.0
504	-1	0	639	0.0	0.0
639	-1	0	758	0.0	0.0
758	-1	0	749	0.0	0.0
749	-1	0	612	0.0	0.0
612	-1	0	483	0.0	0.0
